Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Tuned XGBoost,0.8076650106458482,0.6832740213523132,0.5133689839572193,0.5862595419847328,0.8474747474747475
XGBoost,0.8069552874378992,0.673469387755102,0.5294117647058824,0.592814371257485,0.8443734015345268
Logistic Regression,0.8048261178140526,0.6551724137931034,0.5588235294117647,0.6031746031746031,0.8426929137926579
Tuned Random Forest,0.7955997161107168,0.680672268907563,0.43315508021390375,0.5294117647058824,0.8409853005760934
Decision Tree,0.7984386089425124,0.6347305389221557,0.5668449197860963,0.5988700564971752,0.830278488206877
Random Forest,0.7806955287437899,0.6101694915254238,0.48128342245989303,0.5381165919282511,0.818502157121083
