FPR,TPR
0.0,0.0
0.0,0.00267379679144385
0.0,0.045454545454545456
0.000966183574879227,0.045454545454545456
0.000966183574879227,0.053475935828877004
0.002898550724637681,0.053475935828877004
0.002898550724637681,0.06149732620320856
0.004830917874396135,0.06149732620320856
0.004830917874396135,0.07219251336898395
0.005797101449275362,0.07219251336898395
0.005797101449275362,0.0855614973262032
0.00676328502415459,0.0855614973262032
0.00676328502415459,0.09358288770053476
0.007729468599033816,0.09358288770053476
0.007729468599033816,0.0962566844919786
0.008695652173913044,0.0962566844919786
0.00966183574879227,0.09893048128342247
0.00966183574879227,0.10427807486631016
0.00966183574879227,0.10695187165775401
0.00966183574879227,0.11229946524064172
0.00966183574879227,0.12299465240641712
0.011594202898550725,0.12299465240641712
0.011594202898550725,0.12566844919786097
0.012560386473429951,0.12566844919786097
0.012560386473429951,0.1657754010695187
0.01352657004830918,0.16844919786096257
0.01352657004830918,0.17379679144385027
0.014492753623188406,0.17379679144385027
0.014492753623188406,0.17914438502673796
0.015458937198067632,0.17914438502673796
0.015458937198067632,0.18716577540106952
0.018357487922705314,0.18716577540106952
0.018357487922705314,0.20053475935828877
0.01932367149758454,0.20053475935828877
0.01932367149758454,0.20855614973262032
0.020289855072463767,0.20855614973262032
0.020289855072463767,0.21122994652406418
0.021256038647342997,0.21122994652406418
0.021256038647342997,0.21390374331550802
0.022222222222222223,0.21390374331550802
0.022222222222222223,0.21657754010695188
0.02318840579710145,0.21657754010695188
0.02318840579710145,0.22192513368983957
0.024154589371980676,0.22192513368983957
0.024154589371980676,0.24331550802139038
0.025120772946859903,0.24331550802139038
0.025120772946859903,0.2540106951871658
0.02608695652173913,0.2540106951871658
0.02608695652173913,0.25935828877005346
0.02705314009661836,0.25935828877005346
0.02705314009661836,0.2647058823529412
0.028019323671497585,0.2647058823529412
0.028019323671497585,0.26737967914438504
0.028985507246376812,0.26737967914438504
0.028985507246376812,0.2700534759358289
0.02995169082125604,0.2700534759358289
0.02995169082125604,0.27540106951871657
0.03285024154589372,0.27540106951871657
0.03285024154589372,0.2807486631016043
0.034782608695652174,0.2807486631016043
0.034782608695652174,0.28342245989304815
0.035748792270531404,0.28342245989304815
0.035748792270531404,0.29411764705882354
0.03671497584541063,0.29411764705882354
0.03671497584541063,0.3074866310160428
0.03768115942028986,0.3074866310160428
0.03768115942028986,0.31283422459893045
0.03864734299516908,0.31283422459893045
0.03864734299516908,0.3155080213903743
0.03961352657004831,0.3181818181818182
0.04154589371980676,0.3181818181818182
0.04154589371980676,0.32620320855614976
0.04251207729468599,0.32620320855614976
0.04251207729468599,0.3502673796791444
0.044444444444444446,0.3502673796791444
0.044444444444444446,0.35561497326203206
0.04734299516908213,0.35561497326203206
0.04734299516908213,0.3582887700534759
0.04830917874396135,0.3582887700534759
0.04830917874396135,0.3716577540106952
0.04927536231884058,0.3716577540106952
0.04927536231884058,0.37967914438502676
0.050241545893719805,0.37967914438502676
0.050241545893719805,0.3850267379679144
0.05217391304347826,0.3850267379679144
0.05217391304347826,0.3983957219251337
0.05314009661835749,0.40106951871657753
0.05314009661835749,0.4090909090909091
0.05410628019323672,0.4090909090909091
0.05410628019323672,0.4117647058823529
0.057971014492753624,0.4117647058823529
0.057971014492753624,0.4197860962566845
0.05893719806763285,0.4197860962566845
0.05893719806763285,0.42780748663101603
0.06183574879227053,0.42780748663101603
0.06183574879227053,0.4304812834224599
0.0647342995169082,0.4304812834224599
0.0647342995169082,0.4385026737967914
0.06666666666666667,0.4385026737967914
0.06666666666666667,0.4411764705882353
0.06763285024154589,0.4411764705882353
0.06763285024154589,0.45187165775401067
0.07053140096618357,0.45187165775401067
0.07053140096618357,0.45454545454545453
0.07536231884057971,0.45454545454545453
0.07536231884057971,0.46524064171123
0.07632850241545894,0.46524064171123
0.07632850241545894,0.4679144385026738
0.0782608695652174,0.4679144385026738
0.0782608695652174,0.47058823529411764
0.07922705314009662,0.47058823529411764
0.07922705314009662,0.48128342245989303
0.08115942028985507,0.48128342245989303
0.08115942028985507,0.4839572192513369
0.08115942028985507,0.4893048128342246
0.0821256038647343,0.4893048128342246
0.0821256038647343,0.4919786096256685
0.08309178743961353,0.4919786096256685
0.08309178743961353,0.5
0.08405797101449275,0.5
0.08405797101449275,0.5053475935828877
0.08405797101449275,0.5106951871657754
0.08502415458937199,0.5106951871657754
0.08502415458937199,0.5133689839572193
0.08599033816425121,0.5133689839572193
0.08599033816425121,0.5320855614973262
0.08792270531400966,0.5320855614973262
0.08792270531400966,0.5347593582887701
0.08985507246376812,0.5347593582887701
0.08985507246376812,0.5454545454545454
0.09178743961352658,0.5454545454545454
0.09178743961352658,0.5481283422459893
0.09565217391304348,0.5481283422459893
0.09565217391304348,0.553475935828877
0.09758454106280193,0.553475935828877
0.09758454106280193,0.5588235294117647
0.10628019323671498,0.5588235294117647
0.10628019323671498,0.56951871657754
0.1072463768115942,0.56951871657754
0.1072463768115942,0.5748663101604278
0.10821256038647344,0.5748663101604278
0.10821256038647344,0.5775401069518716
0.11014492753623188,0.5775401069518716
0.11014492753623188,0.5802139037433155
0.1111111111111111,0.5802139037433155
0.1111111111111111,0.5828877005347594
0.11497584541062802,0.5828877005347594
0.11497584541062802,0.5855614973262032
0.12173913043478261,0.5855614973262032
0.12173913043478261,0.5909090909090909
0.1246376811594203,0.5909090909090909
0.1246376811594203,0.5935828877005348
0.12753623188405797,0.5935828877005348
0.12753623188405797,0.5962566844919787
0.13526570048309178,0.5962566844919787
0.13526570048309178,0.6016042780748663
0.13816425120772946,0.6016042780748663
0.1391304347826087,0.6042780748663101
0.14106280193236714,0.6042780748663101
0.14106280193236714,0.606951871657754
0.14202898550724638,0.606951871657754
0.14202898550724638,0.6096256684491979
0.14589371980676327,0.6096256684491979
0.14589371980676327,0.6122994652406417
0.1497584541062802,0.6122994652406417
0.1497584541062802,0.6176470588235294
0.15072463768115943,0.6176470588235294
0.15072463768115943,0.6256684491978609
0.1536231884057971,0.6256684491978609
0.1536231884057971,0.6363636363636364
0.1565217391304348,0.6363636363636364
0.1565217391304348,0.6443850267379679
0.16231884057971013,0.6443850267379679
0.16231884057971013,0.6470588235294118
0.1642512077294686,0.6470588235294118
0.1642512077294686,0.6524064171122995
0.16521739130434782,0.6524064171122995
0.16521739130434782,0.6550802139037433
0.16908212560386474,0.6550802139037433
0.16908212560386474,0.6631016042780749
0.17198067632850242,0.6631016042780749
0.17198067632850242,0.6657754010695187
0.17294685990338166,0.6657754010695187
0.17294685990338166,0.6684491978609626
0.178743961352657,0.6684491978609626
0.178743961352657,0.6764705882352942
0.1826086956521739,0.6764705882352942
0.1826086956521739,0.679144385026738
0.18357487922705315,0.679144385026738
